Question;Q_label;A_label;Q_type;A_type
If someone saw either the last 10 books you read, or the last 10 movies you watched, what conclusions could they make about you? *shoves romance books under bed* => The last 10 books might show that I'm something of a data junkie, gobbling up authors like Nate Silver, Stephen Levitt, Michael Specter, Mary Roach and the like (and lately, Christian Rudder).;0;0;;
Happy Independence Day!!! *jumps up and down with excitement*  On a scale of 1-10, how much do fireworks irritate you?  Why or why not? => Eh - I'm neither here nor there on fireworks.  Watching a display isn't really worth buying a bunch of crap or dragging a bunch of friends into a competitive viewing crowd anymore*, so I don't really do fireworks these days - a barbecue and a little poker night is a good enough celebration for me.  On the flip side, I don't have any terrified pets or large stretches of flammable property, so I'm not as resentful of them as some people.;0;0;;
Don't you hate it when you go to use a public toilet, and the person before you hasn't flushed and there's a bloody tampon floating in the loo? => You're saying that DOESN'T happen sometimes?;0;0;;
What the hell is up with Florida? In the UK, We hear nothing but bad things about that place. Americans, explain! => If I had to venture a guess, I'd blame the fact that the state is a popular place to retire, and a popular place to immigrate into.  Which is to say, we take the most socially conservative people in the country, and mix them together with some of the freshest, most culturally alienated immigrants, and see what happens.  And what happens ends up being a state where the legislature bald-facedly tries to trick certain demographics into not showing up to vote, and that agrees that firearms are an appropriate response to feeling scared.;0;0;;
Serious question, is Katy Perry hot? I can't look away from her tits long enough to tell. => She's got quite big tits;0;1;;sexual
So, suppose that your attraction to the opposite sex was a software package. Would you trust Microsoft with all the updates and virus protection? => ALERT: Your sex drive will shut down for a critical update in four minutes.;0;0;;
Who is watching the Olympics? I am, so far. That Opening Ceremony wasn't nearly as bad ass as 2008 Beijing with all the drummers, though. => I was vaguely aware that there was an Olympics recently, and/or is currently going on :);0;0;;
Are you able to tell a person's age or sex by the way they write? => Sex, not at all.;0;0;;
Does the argument that, If a person is old enough to fight and die for their country, they are old enough to do x. annoy you as much as it does me? => You know, as cliche as it is, I can't actually find much cause to disagree with that statement.  Usually, though, I think the statement is used to say that the age of majority for some activity should be lowered to 18 (usually drinking - occasionally, renting a car or somesuch), whereas I tend to view it as a better argument for RAISING the age of majority for military recruitment.  If society thinks someone is still a little too irresponsible to be trusted with weak depressants that can carry medical risks in large quantities, why do we think the same person can be trusted to sign up to kill and die for a GI bill or some sense of patriotism?;0;0;;
Fuck you in the ass and runs off => !  Get back Fuck you;1;1;sexual;sexual
Aw man! I came to my grandma's and I forgot the poop chart you sent me for her wall. :( => iiiits an out-of-context post!  :D;0;0;;
I've heard it's great, but honestly, don't want to come home from work and play some horribly depressing video game. => Well, if whether or not you might be depressed is the deciding factor in whether or not you pick it up, I'd just tell you to look at the genre: it's a post-apocalyptic survival horror.  I'd say the chances of being made to care strongly about a character, and then to watch that character die horribly, are pretty high :);0;0;;
"Why do so many straight people think there is a ""gay agenda"" when it comes to media and laws?  What does ""gay agenda"" even mean?  lol. => The gay rights 'agenda,' from what I understand, is nothing more than to get equal partnership rights to straights.  Which is to say, to get discriminatory laws stricken from the books that treat gay couples differently from (worse than) straight couples, or that don't recognize them at all.  I've kept an open mind for good arguments against this for a long time, and I have yet to be presented with a convincing reason that gays shouldn't have equal rights, with regard to marriage, adoption, taxation, serving in the military, and everywhere else they're discriminated against.";0;0;;
My C. Bear  ain't allowed to go outside. I already brighten his day. The fuck he need sunlight for? => Be sure to send him some Vitamin D supplements.;0;0;;
Is it sexist for male sex toys to be seen as creepy or perverted, but female sex toys to be considered normal? => I'd say that's probably tied to trouble orgasming being more commonly associated with women than men.  A vibrator or other female sex toy might be sympathetically viewed as a necessity to achieve orgasm, whereas sex toys for men are generally viewed as unnecessary excesses.;0;0;;
Who's the real tyrant?  (God or Jesus) => As I understand Christianity, Jesus plays good cop and God plays bad cop.;0;0;;
What do you think about balls and courts? => Get your balls out of my court, or I'll hit them with a racket.;0;0;;
Would you undergo sex reassignment surgery temporarily (5 years) if it would save the lives of 100 starving children? => That depends.;0;0;;
Do you believe that more value should be placed on female virginity than male virginity? Why or why not? => Nope.  There's an archaic idea woven into our culture and most cultures that sex is a service or a product or a thing of value, possessed inherently by women and sold or bartered to men.  It's the idea behind most prostitution, and behind wives as property, and behind the idea that a woman's sex loses value as she has more partners or more experiences, and that a man is more worthy as he has sex with more women and has sex more often.;0;0;;
"Have you ever met anyone, who was just SO bad mannered that you wondered how the hell they were brought up? => I've seen some pretty rotten conditions that kids are ""brought up"" in (read: left to parent themselves, or forced to act as caretakers of their own parents).";0;0;;
Ever read someone's FB status about how happy they are in a relationship and found yourself thinking 'oh shut the fuck up'? => I'm not particularly annoyed by publicly happy couples (or even couples that are trying a little too hard to inform everyone of how happy they are), mostly because happily single is kind of my default state.  Not being in a relationship has never been something that makes me particularly unhappy.;0;0;;
What do you think of a woman keeping a Honda generator under the bed for her sex toys? => Look, I'm really going to have to know something about the cylinder capacity and horsepower output before I can pass judgement on that.;0;0;;
Do you ever find that you get a little too aggressive with your clitoral hood and sometimes it comes off in your hand? => I don't even have a clitoris anymore.  Must have sanded the thing right off.;1;0;sexual;
Would you have sex with a very sexy woman you just met , => I was wondering why your question ended with a comma?;0;0;;
What's the point in living, if we all die anyway? => What's the point of sleeping, if you just end up awake in the morning anyway?;0;0;;
Are you of the opinion that BDSM and other fetishes are more commonly a result of environmental causes, or do you think genetics is the more significant factor? => I think I'd be talking out of my ass as much as anyone else on that topic.;0;0;;
I will exchange you my vagina and all my ova for 10% of your happiness plz? => I'm trying to decide whether or not to make a crack about human caviar, or whether that would be too horrifying.  What do you think?;0;0;;
What are you looking forward to this year? => To be happy nd not be worried bout stupid shit;0;0;;
Accept Jesus Christ as your Lord and Savior!!! Time is running out so repent for he is coming!! He loves you and so do i!!!! => Same;0;0;;
Are you a good liar? => Yea u bitch lmao ;0;1;;insult
likers get a fuck or chuck => Who is this;0;0;;
Last persons house you were in? => A hoe;0;0;;
u have sex with a black girl, or Chinese => Not you;1;0;defamation;
What's the worst thing someone can do on a first date? => Don't fuck up ha;0;0;;
Big butt lol umm 1 of a kind person there's no one tht even has my type if hair in this town shud be obvious => Anymore hints ha ?(:;0;0;;
What makes you really mad? => This shit !;0;0;;
How does the mafia make money? => Being thugs selling shit you ain't suppose to sell;0;0;;
Shit! That's a hard lose! => Hell yeah !;0;0;;
Everyone says that but then they tell are their friends and the girl gets shit for it! => No I won't I promise;0;0;;
Before we graduate try to go to coco fool u will like it alot!(: and tell tht butt whole Sergio I said hi(: => Yeah I might transfer! And forsure;0;0;;
Who has the biggest butt tht u no? => Haha(;0;0;;
Can you tell me why guys always pick the skinny girls that are bitches over the nice girls that aren't so skinny? => Some guys don't care if the girl has a personality they just date them because there pretty.;0;0;;
If he likes a specific girl and he doesn't wanna like anyone else leave him the fuck alone damn why do you even have to know its not your life! => Love u.;0;0;;
opinion, omg you're so funnyyyy !  ahah im glad we have an ip together, carsons a fag => Haha thanks and I am too ! And no comment haha.;0;0;;
I heard you fuck  with like 3 other guys?! => I don't give you  a fuck;1;1;defamation;insult
Who has the biggest butt u ever seen? Has to be someone u no => Haha what?;0;0;;
ohh shit that was me => Ha got you;0;0;;
If you could go back in time to talk to yourself, what would you say? => What the fuck;0;0;;
What sports do you play? => Football soccer and sometimes basketball but I suck at it;0;0;;
do u think u would get date a black girll? with a big ass lol? => What ha?;1;0;sexual;
opinion : youre my bestfriend. i love you. lets fuck shit up. => Love you too ! And forsure hmu so I can give you your 20 !;0;0;;
it wont, but it also wouldn't hurt to answer the damn question (: => Haha alright;0;0;;
this shit is made to be anonymous.  -.- => I know but it won't hurt coming off anonymous;0;0;;
The view up there must be nice though => Its to die for;0;0;;
i really wish i could see your butt tho => If ya wanna see it you could see it after work  in person;1;0;sexual;
does penis size matter to you? => Kinda;1;0;sexual;
Is your butt really big? => Yup;1;0;sexual;
cool, like your vagina you mean? => Yes;1;0;sexual;
Your butt is so huge  => It is;1;0;sexual;
I'm surprised you got your giant butt through => I am to, Im magic ;1;0;sexual;
Wow. You're hv really bigtits  => Still damn lol  oh well;1;0;sexual;
Your butt is inflating  => Oh no xD;1;0;sexual;
Hot air balloons are like 100 feet tall lol => Oh shit that is true lol;0;0;;
If you somehow meet your ex , how would you treat to that????? => Suck  my dick;0;1;;insult
Di you are really an inspiration to me i would really like to meet you and spend some time with you i adore you a lot ?you are damn pretty ? => Thanks love;0;0;;
Wt the FUCK!! How does this shit work like fr => Dunno;0;0;;
Last time you had fuck? => Never had sex before;1;0;sexual;
I know from school that your feet reek lmao => Ive been wearing shoes. How da heck can you smell my feet;1;0;insult;
2W3 and send me a pic of your city or uu => Im in bed cant take pic of my ass;0;0;;
Are you ready for the Halloween night? => Hell yea ;0;0;;
What is friendship? Do you have many friends? => Friendship is where you meet random people from around the world or the streets. Who you can get fucked up with and laugh about nothing. And eat a shit tone of food. That do random things ;0;0;;
What are you regretting the most? => Telling people how i truely feel because I either get stabbed in the back or people go behind my back and talk shit or tell others what I told them that was suppose to be a secrect;0;0;;
When do you plan on having vaginal intercourse with a member of the opposite sex (ex. twenty one pilots, ed sheeran, bill cosby, tori kelly, my mom) => Idk and have to go with twenty one pilots;1;0;sexual;
Whats your favorite phrase? => Fuck ass no;0;0;;
eres gay o bisexual? => I hv fucked  with your sister;1;1;insult;sexual, defamation
What do u want to be when you grow up? => I think the same shit HAHAHA I just kidding !;0;0;;
I would think you'd wany a big family since you have a lot of siblings => Get the fuck up!;0;0;;
Can I text you to help me with math? => O dont give a fuck you math ... Im bored bro;0;0;;
How cute or hot am I ? And whats everyones Snapchat and insta ? => Tout just suck MTF;0;0;;
What was the most interesting place you have ever visited? => My fucking home..hahaha I just ruling kidding I dont know what the fuck can i say lol Im fucking bored you l now what Im gonna eat something ...;0;0;;
"What does ""feeling high"" mean to you???? => Fuck that shit ";0;0;;
How many times have you heard the words of someone close to you..?  => Shut up bitch.. Im so fucking tired of your shit;0;1;;insult
Do angels have sex lol?!?!? => Hahahaha why not?;0;0;;
Whats it like to sneak around with opposite sex behind youre partners back but like literally when he turns around like whats the point?? => Why you have to go n let it die?;0;0;;
What about your snapchat code? ? => Who are u,,,,Im so tired  nigga u sick;0;1;;insult
The motherfucking best => I Dont Hope So ssjjsjsjs;0;0;;
How would your superhero costume look like? => Super negro todo haha;0;0;;
you black nigga,  I wants to ask u something, can i? => Yes, ask me.;1;0;insult;
Have you ever skip any classes if you did which class and why? => all of them cuz i had shit going on at the time and gave up on everything;0;0;;
What are your memories from this winter? Tell me, please : => smoking my feelings away during class breaks, drowning myself in iced coffee, trying to get my shit together;0;0;;
Do you are really an inspiration to me i would really like to meet you and spend some time with you i adore you a lot ? you are damn pretty ? => aww thats sweet :) id love to meet u one day too;0;0;;
Worst thing about being ticklish? => it feels weird but not a bad weird but u still laugh and u dont know why your tickly and what it really means to be ticklish so u just die laughing;0;0;;
Play any sports? If so what kind? => nope but i kinda like basketball. i suck so bad tho;0;0;;
Were you born with that shity ego of yours? => fuck you lmao what ego;1;0;isult;sexual
What was the last time you were angry? What happened? => today. ive been taking my anger out and hurting people around me because im frustrated with the shit going on in my life and i just want to sleep and never wake up;0;0;;
How much did you lurk your crushes social media before talking to them? => lmao i dont talk to them;0;0;;
I have seen things and done things I'm not proud of. What's your story? => you was a little bitch as a kid.  regret that.;0;1;;insult
Do you like to try different things or amongst those who are scared to leave their comfort zone ? => depends on my mood. sometimes i wake up and decide to do things i later think wtf was i thinking and sometimes i just want to hide in a burrito blanket and hibernate.;0;0;;
Last time you cried? And why? => today. shit happens;0;0;;
Why are so many people depressed nowadays? => because life is a bitch and there are assholes everywhere;0;0;;
What's the worst advice you've ever taken? => to look at the bright side of things when my life is a bag of shit;0;0;;
What do you think people think of you? => a cold bitch;0;0;;
How would you introduce yourself on dating app? => like you bitch face couch potato;0;1;;insult
What would you like to change? => my shitty personality;0;0;;
the dawnie starter pack: m&ms, redvines, black nail polish, walks, coffee, bitchface, sad poems => omg yes;0;0;;
What are you most known for? => quiet and having a bitch face;0;0;;
Are you good in dancing? => omg no;0;0;;
What do u look like right now => i look like shit;0;0;;
who are the fuck you letters for => assholes;0;0;;
What is your favorite word? => fuck;0;0;;
what would u do if the internet was gone forever => download a bunch of songs and read books since i cant watch videos might as well imagine shit;0;0;;
gimme bitch face ely => NEVERRRR;0;0;;
Would you ever get a tattoo? => omg yes;0;0;;
What makes you strong? => overcoming shit;0;0;;
I found a name on your poem oncee => oh shit;0;0;;
Have you ever broken up with a friend? Why => yea he was an ass;0;0;;
How was your weekend? => Rubbish;0;0;;
What's something that you've read recently that you've liked? => why don?t you die;0;1;;curse
"What's one thing most people don't know about you? => That i hate any ill talking about any member of my new family even if they say ""you are so great for them""  cause what the hell it's not a complement";0;0;;
Are tennis balls green or yellow? => Green;0;0;;
Do you think people are basically bad or basically good? => Basically don't have a personality and work like knee jerk ....they just behave according to how others treat them;0;0;;
Do you try to look attractive when you go to the local grocery store? => Why the hell should i ;0;0;;
What should a single person do when all your friends are in relationship?  => honestly enjoy it. youre single and you can do whatever you want to do without having your s/o getting on your ass for it. enjoy it while you can bc once you get into a relationship, youre gonna have to be committed and respect the relationship.;0;0;;
I would think you'd wany a big family since you have a lot of siblings => lmao what? where did you heard i have a lot of siblings cause i only have one brother;0;0;;
Netflix or Lostfilm? => wtf is lostfilm;0;0;;
Who is your most hated celebrity? => lmao in middle school it was selena gomez for the stupid reasons;0;0;;
Some advice for those who wanna be better? => start with positive thoughts. i know thats hard but you gotta start doing that. and stop apologizing for everything. its not your fault so stop blaming yourself. and it may not seem like things will get better, but sooner or later it will. life is a bitch rn but thats bc later in life, good things will come.;0;0;;
Do u like to go to school? => the only thing i like about school is that im not at my house lmao;0;0;;
Where do you really want to travel? => omg i really wanna travel around the world.;0;0;;
If you had to get one thing tattooed on your forehead, what would it be? => eyebrows are part of forehead right? so get my eyebrows tattooed lmao;0;0;;
well because theyre good so it makes sense => lmao what the fuck you talking, just die??;0;1;;curse
its a snow day you fucking asshole => i pulled all nighter;1;0;insult;
How are you feeling? => i have a heartache and i don't feel good so i feel pretty shitty;0;0;;
Lol totally I get hate from everyone but ya know, haters gonna hate but it ain't my fate lol the pizza kids squad hahaha we're amazing => omg ikr? I just dont understand ppl these days;0;0;;
Hey me too!!!! Do you want fries with yo pizza? Cuz that sounds like heaven => omg yasss;0;0;;
How much would u like it if I came back to deer creek? => If die of happiness. Why? Are u coming back?! ;0;0;;
Would you use a self-driving car or drive yourself? => self driving cause i suck at driving lol and i have the basic skills to start driving it when i need to, but for the most part, a self driving car would be nice;0;0;;
What was your favorite childhood TV show? => ask me shit im bored;0;0;;
What's your kinda trend? => trends suck;0;0;;
Do you send questions to yourself? => no but I feel like askfm sends me questions masked as anonymous lmfao;0;0;;
How do you imagine meeting with your idol? => i dont see anyone as an idol. dehumanization through glorification. no one could be that great. lmao;0;0;;
What is the purpose of your existence? => literally nothing but it's ok. at this point i'm just alive for the laughs lmfao;0;0;;
What social networking websites do you use? => well, here i guess, from time to time. i use snapchat to snap 2 people max (and that's rare too). i'm just really bad at using social media lmao all i need is tumblr tbh. like where else is it acceptable to vent personally about your life.....but i stopped using tumbr too sdnjkfsn;0;0;;
"What is your ideal girlfriend/boyfriend? In general, what are your preferences? => idk, just someone who gets me and gets ""it"" would be nice. i'm not like..yearning for a relationship or anything though, my attitude regarding it is just ""if i meet someone who is nice, then that's cool"" lmao. most of the time relationships make me feel disgusted (not saying other people, it's just something i feel personally. i realistically cannot see myself in a relationship with people around me because their idea of a relationship and mine is not compatible lol). and to answer your question, a preference would be to not do that sappy generic shit :/ just no. No. sorry lmao";0;0;;
"What is your zodiac sign ? Do you believe in the compatibility of horoscopes? => aries and not really. idc about zodiacs unless ur cherry LMAO or one of Those ppl who know about the risings and mars, etc. people who don't use astrology to make up bs and shitty claims about others, u know? i believe those ppl and what they have to say about astrology and ""compatibility"". no one and nothing else. but at the end of the day, i still take that with a grain of salt";0;0;;
Do you like playing Angry Bird? => lmao this reminds me of the kid at the hospital who still played angry bird, i thought we left that behind in 2013??? or whatever year. but to answer this question, nah;0;0;;
What are you most scared of => my future, college, gaining weight, driving, etc etc. literally everything except staying in my room and watching netflix which ive been doing lately which i hate. ive always been under the belief that living like that meant ur wasting ur life but Idc anymore lmao not much life left;0;0;;
"what kind of music do you listen to lately? => nothing new, mainly listening to what ive always been listening to lmao but i started listening to brockhampton lately and they are so good. i love ""face""";0;0;;
What does friendship mean to you? What should your friend be like? Do you have a lot of friends? What could be your reasons for discontinuing friendship with a person? => friends are people whos company u enjoy and u respect and trust them etc. i dont really have a set standard just dont be a shit person.....but also i have high standards now bc i dont miss nor enjoyed getting walked all over. if u are shallow and sneaky (try to drag me down with u, etc) then no u fucked up bye.....and they need to share my values tbh. but my values arent that hard to share, u just have to be a good person lol;0;0;;
What is one thing that many people don't know about you? => idk where to even begin i hide a LOT lmao ;0;0;;
how do y'all not procrastinate => the timing of this question is sooo dndkmdm bc my paper is due in 2 hours and im procrastinating lmao Help;0;0;;
have u done any art latly => yeah, but it's not that amazing and i've been feeling bad about it because 1. i suck and 2. i took art 'seriously' too late. but honestly, it doesnt matter, not like i was planning on going to an art school anyway lol or ever actually;0;0;;
have there ever been moments in your life where you felt the need to take a break from social media? if you're comfortable talking about it, what was happening? => yeah, it usually stems from paranoia. but it doesn't happen for a long period of time, because sadly, i use social media as a source of validation and seek a support system that doesn't exist irl for me lmao;0;0;;
if you're upset, do you prefer to be left alone or have someone cheer you up? => it depends....these days i'd love for someone to cheer me up. a constant stream of validation and why i'm worthy of a person. but i know it's all lies because i'm currently not doing shit with my life. plus i imagine it would be very tedious for someone to just tell me all the good parts of myself while i deny and tell them that they're lying. it's very burdensome on the other person too. or maybe even just a few encouraging words are fine i'm not picky these days. i've self isolated to the point i rarely talk to anyone. i think how nice it would be to never wake up again lol. lmao @ my depressing ass answers kdsnfks sorry hahah;0;0;;
"should pornography be legal? => imo no, the industry is terrible and i don't really have faith in ""reforming"" the industry, i think it's impossible, seeing as how the porn industry thrives off of exploiting or fetishizing the existence of people. plus they cater to a certain ""gaze"" (their audience lol) and i feel like making it legal would just let people get into situations where they are in the industry more easily, if that makes sense? like yes, it's their choice, but i'm also worried because i know about how sex workers are mistreated/abused, it's too rampant for me to just ignore, even though it's their choice.... anyway idk if this falls under 'pornography' but i'm not talking about people making money online or camming or wtevr!!!";0;0;;
but then again like i wanted to cut my hair to an under chin bob and just be real cute and girly so idk what i wanna do  im sorry lmao rofl Zomg lmfao roflcopter => u would look cute either way tbh!!!! but hair grows back, or wigs lmao but what says that u can't try both hair styles roflz :P;0;0;;
what do you think of nutella? apple sauce? avocado toast? waffle fries? yogurt? pop tarts? chicken nuggets? pineapple pizza? broccoli? => all of these are good!!! except broccoli and avocado toast. i don't understand how people love avocados they literally taste like....... Nothing omg;0;0;;
as of right this second, which feels more important: peace or love? => love...... love is a powerful feeling. you can hold so much anger just from your love of the people.... can a revolution without love really exist? love fuels anger fuels revolutionary change. hm..... there is always something to be sad about anyway. or angry about. even when one thing becomes better in society, you will always need to hold onto that sadness and anger. there is always something to be sad about, but we can use that sadness for good. lmao i'm rambling i need to go write my essay;0;0;;
in what ways has your life followed the conventional path, and in what ways has it deviated and been more unconventional? => i don't really like saying what made it unconventional, it has a lot to do with my beliefs and my goals in life that i'm not comfortable saying just yet, don't wanna jinx myself lmao but i guess it's very conventional, as in i go to school, i'm planning on going to college, etc. and my day to day life is very plain;0;0;;
do you know what region your last name comes from? (also, does your last name sound obviously Irish, or German, or whatever?) => korea! it's an extremely common korean last name aha...... peasant name lmao;0;0;;
thick thighs or nice eyes? star gazing or hell raising? rain drops or candy shops? sandy beaches or juicy peaches? hot summer nights or crisp autumn frights? => nice eyes, eyes are kind of like the window to your soul, right? and star gazing, candy shops, peaches, summer nights! thinking about these warms my heart, i want to rest and do these with someone i treasure soon ,, i am a very stressed muffin rn;0;0;;
"Donald Trump is our president now, we all have to respect him. => blind respect to people who are in power is dangerous. presidents aren't free from criticism (especially when their views stem from fear-mongering and misinformation) they weren't chosen by some objective all-knowing beings, they were chosen by the electoral college. who the hell is ""we"" ?? because this country spoke and ""we"" wanted hillary clinton lol. plus where did donald respect marginalized groups of people? why would you follow this logic when donald himself didn't respect obama's presidency? ";0;0;;
what are your favorite smells? => warm milk? i think that's it i really hate scents or smelling things strongly. idk i think i have a sensitive nose because most things smell too strong for me and it irritates the hell out of me hhhh...... i'm sure there's a scent i'm not thinking of and it honestly depends on my mood too aha;0;0;;
Compliment: you take shit from nobody on here so that's A+ => ahhh thank u so much!!;0;0;;
"Would you say your first time ever having sex was lousy? => i'm a minor and ""sexual"" questions make me really uncomfortable and more often than not gives me a bad reaction so please don't send me questions like this.";1;0;sexual;
you truly believe that the right, moral thing to do isn't the legal thing. are you more likely do the lawful thing or the right thing? => i wanna say lawful thing but Realistically speaking, i'm very paranoid of anything law related,,,,, if i can do the lawful thing without like..... dying?? then i'd go with lawful lmao;0;0;;
"to what extent are you willing to give comedians a pass to joke abt offensive topics? what makes a joke go too far? => i think people can be funny without being offensive? like obviously not like,,, someone making a joke about carrots and someone getting offended (i'm bad at examples) but if it's ""universally"" an offensive or shitty thing to do, then i don't thinkthey should joke about it, period. just my opinion though lmao but also it's easy to joke w/o hurting others so!";0;0;;
You're a smol bean aw can we be friends I love your music taste ahh => aw omg ofc we can be friends!! n can smOl bean be my name now ahaha;0;0;;
HI I NOTICED THAT YOU LOVE IN LOVE WITH A GHOST TOO AND SO DO I AND I JUST WANTED TO SAY HI BECAUSE I DON'T KNOW ANYONE ELSE THAT LIKES THEM :) => omg hi!!!! oh my gosh ur so cute??? ;0;0;;
are you old enough to get tattoos? do you think you'll ever get any tattoos? => nope, but yes!! i'm indecisive when it comes to this stuff though, idk if i'll ever get one because i'm never sure about the placement. i want the spn anti-possession tattoo on my chest (that's the only one i'm sure of) and i want,, a lot of simpler designs!! like flowers,, i want a full sleeve someday!!!! also there's this tattoo artist that i really like the style of, i don't remember their name, but they make really good portraits of people, i'd want portraits of ppl from them!! n probably just a lot of supernatural tattoos because the show means a lot to me lmao;0;0;;
I am a babysitter. Is it wrong for me to breastfeed the baby? I do not lactate, but it makes him stop crying => bye why can't i get actual questions you guys are weirdos as cunt lmao;0;1;;insult
hi it's yo gurl C how ya Doin' :) => oh my goD hi i love you!!!! i just sent you something lmao i'm sorry i'm literally.... so bad at keeping in contact but ilysm and you're always in my thoughts, i hope you had a good month and that 2017 is treating u well so far!!! (if not i'm always here if u need someone to talk to or someone to send u memes n animal pictures if u don't want to talk about anything) i miss u so much too i don't remember the last time i saw you :( ahh also i was literally just thinking about you when u came on here!!!! i miss u!!!!!!! i know i always say it but i mean it i miss u ;0;0;;
"in school, how what was the sex ed program like? would you say it was decent? => i don't rly remember but i do remember we watched a video of someone who had a std which is fine if they spread more education about it and erasing the stigma that comes along with it, but it was one of those ""choose abstinence!!! if you contract an std your life will be over!!"" and i'm not rly okay with using fear-mongering in sex ed,,,, i don't think children will benefit from that at all lmao";0;0;;
respond to this w four things that make you happy! => mashed potatoes and soup!! my teeth are giving me Hell so i can't eat anything else atm,,, also good books always make me happy. and supernatural!!;0;0;;
"what's your opinion on ""protest votes?"" => i don't really understand that? because i don't think we really have any real power with voting and protest voting won't really do anything?? like, if you're protest voting because you think that if enough people do it, then 3rd party candidates can actually be recognized, or that protest voting will change anything about the 2 party system that america is running on then...... yeah waste of time lmao but i don't think voting (on the presidential level) does anything so,, idrc what people do w/ their votes aha";0;0;;
spam  are there topics you feel strongly about that arent talked about enough? use this to educate me!!! => there's so much, i don't know where to start omg (i'm sorry in advance because i rambled on so much) ;0;0;;
spam  what do you think of #croptopday? is the dress code truly sexist? is there a line between sexism and professionalism? => the most non-inclusive attempt at ~activism~ lmao ;0;0;;
Anger: Do you have a hard time controlling your anger? What do you do to bring yourself down in an angering situation? => yes - and i don't tbh, i usually just throw things and punch something hard or throw myself around the vicinity lmao *but* if i was in public i'd just cry and semi-scream or get mad/yell at people i'm a mess either way :_);0;0;;
have you ever punched someone in the face? => wait i'm re-answering bc i worded it like i beat up some random person for no reason LOL but it was self-defense? idk i was really young so i don't really remember but i was really scared and over time i began to react to fear by pretending i wasn't scared lmao but i don't want to go down Memory Lane tonight sO;0;0;;
wtf is wrong with people and scary clown pranks?????? thoughts? => tbh i don't like pranks like that at all ? like when you genuinely don't know how certain people will be affected, y'know?;0;0;;
Have you ever been catfished? You Been a whore? => noo but i've known ppl who have been catfished smh i don't understand why you would do that ,, and their other friend was catfishing them lmao it was a weird ;0;0;;
what's your favorite Beatles song? => omg i don't know much about the beatles either except their song hey jude.... so i'll go with that!!! aha;0;0;;
did you support the supreme court's ruling to make same sex marriage legal in every state? => ahh it's good, makes me very hap but i think it's important to realize we still need to fight for our rights in other ways ~;0;0;;
what kind of music do you listen to? name some of your favorite artists, if you'd like! => piano bgs and covers!! they aren't necessarily artists but i love reynah and kyle landry atm lmao they're good music to study to ~;0;0;;
If you were handcuffed to your best friend for a day, what would you expect? Also, would you be annoyed? => i'd be so agitated like i don't think i could handle being that close to someone for 24 hours omg ah but we'd probably watch netflix or sleep so i can try to ignore the fact that we're forced to be in such close proximity of each other tBH;0;0;;
are there any sit down chain restaurants that are actually pretty good? => does subway count omg i don't really eat out anymore because i'm sick of fast foods smh. wait i lied i love panda express!!!! the Best Fake Chinese Food;0;0;;
I loved reading ur answers !! Did you like my questions ?? => omg aw i'm smiling so big rn i'm!! aw yes, they made me think and they were good questions 10/10 recommend ahh;0;0;;
Tips for ways to sleep? especially for those who think too much at night? => i don't think i'm the best person to ask this!! everyone's needs are different uh maybe turn on a night light so your room is semi-dark or play music/a tv show in the background? read a book maybe aha whenever i read a book my eyes feel tired - drink something warm! these were probably useless oops but anyway maybe try to distract your mind with something else if you're thinking too much.. but maybe that'll make you think more..... okay yeah this probably doesn't help lmfao but i hope you find a way that helps you sleep better!! or find someone with better advice than me LOL;0;0;;
"What's your opinion on this #savemarinajoyce drama on Twitter? (If you don't know what I'm talking about, feel free to delete or use as a filler) => i mean, a lot of people already said a lot about this and i don't want to be repetitive but i just wanna say that it's extremely rude to exploit someone's personal life for drama and that it's not the responsibility of anyone online to try and ""help"" her - it's the job of people close to her and trained professionals. also people make me so !!! like ""look at the reflection of her eyes in this picture"" ""put this emoji in your bio if you need help!!"" lmao wyd";0;0;;
ily all I wasn't actually threatening to unfollow someone! you don't have to convince me to follow you lovely people, you guys are all dope => omg aw aha you're so sweet !!;0;0;;
why should I continue to follow you? what do you think makes your answers different from other people's? => omg idk!!! you don't have to aha ;0;0;;
PAP of you with makeup! You have really good makeup!!! => i would but i'm super paranoid about posting my face on here anymore omg - but thank you aw aw i'm surprised because makeup isn't really my forte aw ily!!!!;0;0;;
Do you follow politics? If not, why? => i have news apps on my phone so it's fairly easy to know what's going on.. or at least in a general sense. but i don't follow politics as much as i used to lmao not sure why;0;0;;
Did you ever buy something so quick you didn't even think twice about the value of the object? Did you later on not really like having the item and regret buying it? => litr everything i have ever bought lmao i never think about the price before buying. i kind of regret buying the adult coloring book but the black zara dress i recently bought is so beautiful i'm so happy. only material things truly make me feel happy;0;0;;
"Do you think racial stereotyping can be positive and have a good effect? Why or why not? => re-answering bc my original answer came off as whiny lmao anyway no because nothing is ever good when you categorize an entire group of people into one box. even ""positive"" stereotypes such as ""all asians are smart"" are actually really toxic because it takes away from people's hard work because people think it's a ""given"" that someone has a certain talent because they're asian";0;0;;
wtf i love all of ur songs on soundcloud => heh thanks sis;0;0;;
do you believe you can die of a broken heart? I do => Yep;0;0;;
Any gay or lesbian people around? Over 21 please! . Are yoy gay or lesbian => Nah;1;0;insult;
how to get your attention? => Taco Bell;0;0;;
What should I eat when I'm sad? Your recipe? => Your moms pussy;0;1;;insult, sexual
What is the best part of the  person that you love? => His dick;0;1;;sexual
